Chinese,English
挡路,Block
千真万确,Truthful
红灯,red light
放纵,indulgence
一塌糊涂,A mess
反驳,refute
二十四,twenty four
无处,nowhere
海蒂,Hydi
房主,Homeowner
灰烬,ash
绝佳,Great
樂,fun
成真,come true
急诊室,emergency room
跑车,Sports car
枪伤,Gun injury
赶过来,Come over
噗,puff
拋棄,abandon
嗜好,hobby
强奸犯,Rape
鼓舞,Encourage
对策,Countermeasure
手术室,Operating room
昂,hold head high
小女儿,Little daughter
興奮,excited
公告,announcement
难度,Difficulty
众所周知,Well-known
一清二楚,A clear
巴赫,Bach
谋杀罪,Murder
贝茨,Bates
婚前,Before marriage
挑戰,challenge
车手,Driver
敌机,Enemy plane
病患,Patient
絬,Bamboo
α,alpha
蛋白质,protein
采集,collection
提夫,Tiff
渗透,penetration
绝妙,excellent
简短,short
西德尼,Sidney
便当,convenient
點兒,Point
威廉斯,Williams
枪法,marksmanship
监制,Monitor
波尔,Boer
特点,Characteristics
我將,I shall
园丁,gardener
惧怕,Fear
誤會,Misunderstand
岂有此理,Do you have this
联邦政府,Federal government
舰,Ship
自家,Home
加大,Increasing
品种,Variety
肖像,portrait
辩护律师,Defense counsel
飘,With the wind
绽放,Bloom
顶端,top
迪安,Di'an
烟火,Fireworks
贩卖,Sell
直到现在,Until now
退回去,return to
拐杖,crutch
面积,area
真酷,so cool
海绵,sponge
我全,All
股东,shareholder
夜空,Night sky
五块,Five pieces
注释,Note
生意人,Businessman
没救,Not rescue
天神,God
灯泡,Light bulb
伯尼,Bernie
南美,South America
驱动,drive
恶毒,vicious
资本,capital
孤獨,Lonely
接听,Answer
那点,Note
颇,quite
捐款,Donation
装扮,dress up
苏珊娜,Susanna
席,Seat
过期,Expired
用光,Use light
奢侈,luxury
傷心,sad
阿尔弗雷,Alfret
冒險,adventure
哥伦布,Columbus
ミ,Bamboo
定下,Set down
神通,Magical
奔驰,Mercedes
悄悄地,Quietly
站台,Platform
晚飯,dinner
献上,Present
个子,Bonus
劳埃德,Lloyd
医治,heal
煩,bother
次数,frequency
过生日,Birthday
引领,Lead
更强,Strongest
移動,move
鲍里斯,Boris
执着,Persistent
穹顶,Dome
常识,common sense
无数次,countless times
打针,inject
布雷克,Brek
却说,But said
往右,Go to the right
揭穿,Decline
分类,Classification
苦恼,distressed
情緒,mood
无害,harmless
珀西,Percy
不給,Do not give
你害,You
日元,JPY
遥控器,remote control
广泛,widely
優秀,excellent
一无是处,One is no
教練,coach
轻举妄动,act rashly
整座,Whole
费心,Expensive
敌意,hostility
修补,repair
放着,Put
付费,Pay
创新,Innovation
佣人,maid
塔米,Tammy
勝利,victory
杰基,Jiegi
物理学家,physicist
感知,Perceive
社,society
豁免权,Immunity
一箱,One box
不道德,immoral
别玩,Don't play
荷,Unfold
麻雀,sparrow
希腊人,Greek
將軍,General
盡快,ASAP
删掉,Delete
让路,Give Way
圣诞树,Christmas tree
蒂尔,Tir
放逐,exile
儿女,Child
判定,determination
大片,Large piece
维加斯,Vegas
口红,Lipstick
紧迫,urgent
围墙,Wall
阿道夫,Adolf
这钱,This money
奥德,Od
三只,three
一聲,A
源头,source
食堂,canteen
外甥,nephew
错觉,illusion
即將,Soon
多半,most
捉迷藏,hide and seek
后背,Rear back
莱西,Lacey
天国,Heavenly
炼狱,Purgatory
直走,Go straight
酒杯,Wineglass
约瑟,Joseph
窗戶,window
摩擦,friction
十二点,Twelve o'clock
雪花,Snowflake
埃德加,Edgar
撕开,Tear open
宝物,treasure
叫喊,shouting
医务室,Medical room
差距,gap
零食,snack
信號,Signal
音乐剧,musical
蠋,Bamboo
蒙羞,Moon
洛夫,Lov
朴荷,Parkhead
切掉,Cut off
涨,rise
裁缝,tailor
过会儿,In a bit
我军,Tie
照样,Sample
苏醒,wake
成員,member
系好,Fasten
戒备,alert
上街,On the street
超大,Oversized
郑,Zheng
伏击,ambush
逃逸,escape
拳击手,boxer
偷懒,be lazy
狗日,Dog day
浮现,Emerge
贫民窟,Slum
心态,Mentality
他爸,his dad
僵硬,stiff
更长,Longer
别像,Not like
修建,Construct
侧面,side
悲傷,sad
伴郎,Companion
原料,raw material
柱子,Pillar
深海,deep sea
追究,Investigate
轿车,car
醉酒,Drunken
傻话,Stupidity
天氣,weather
嬷嬷,嬷 嬷
ろ,Bamboo
大局,Overall situation
透透气,Breather
外衣,coat
拆散,break up
目录,content
杜克,Duke
聖,Holy
大帝,Great emperor
抽筋,cramp
實現,accomplish
刑期,Punishment period
国安局,Guoan Bureau
博格,Bogg
病得,Sickness
免于,Exempt from
疗养院,nursing home
哪里找,Where to find
邋遢,Bamboo
美容,cosmetic
药店,pharmacy
弗莱德,Flet
兵团,corps
傻蛋,Silly
热门,Popular
混凝土,Concrete
幾年,several years
引开,Introduce
指认,identify
幻影,phantom
小允,Small allowance
摘下,Take out
卡伦,Karon
羶,smell of mutton
露露,Lulu
连络,Contact
睁开,Open
提斯,Piece
丘吉尔,Churchill
那双,That pair
地牢,Dungeon
大兵,Soldier
免疫,immunity
菲兹,Fitz
懒,lazy
就会,Will
生个,Born
辽,Liao
扛,Carry
波波,Wave
原型,prototype
矣,Whispering
脑海中,In the mind
预告,Notice
曹操,Cao Cao
弹钢琴,play piano
典礼,ceremony
弟,younger brother
水池,pool
手动,Manual
臣,minister
综艺,Variety
嗓子,voice
谢尔盖,Sergey
好怕,Be afraid
冷战,cold war
不忠,Be unfailed
觅食,Foraging
居,Residence
э,bamboo
崩,collapse
状,shape
我本來,I originally
农业,agriculture
看重,value
不知所措,I don't know what it is.
叛逆,Rebellious
激进,radical
谋生,Make a living
变老,aged
先走,Go first
违抗,defy
单一,single
变暖,warming
录下来,Record it
沒見,Gone
交火,Crossfire
受了伤,Hurt
满月,Full moon
视,See
再好不过,It could not be better
麦当劳,McDonald's
克里斯蒂,Christie
佐治,Gem
愉悦,Pleasure
债券,Bond
备忘录,memorandum
渺小,Small
非常感激,Very grateful
不容,Can't
尼特,Nit
伪君子,hypocrite
皮包,Leather bag
笑脸,Smiley
二世,Second-generation
种族歧视,racism
衡量,measure
三年级,Third grade
布罗,Broo
道格,Doug
荡,swing
道奇,Dodge
出門,Go out
護士,nurse
便士,penny
土匪,bandit
讨价还价,bargain
地中海,Mediterranean
消停,Stop
评委,Judge
佑,Bless
夏令营,Summer camp
海贼,Pirate
亿年,Billion
滑倒,slip
咖啡厅,Cafe
他來,he comes
阑,Venesis
一块钱,A piece of money
谷歌,Google
认知,Cognition
執行,implement
围栏,Fence
好意思,Whisker
招惹,provoke
华沙,Warsaw
亚伯,Yabo
失忆,Misfortune
角斗士,Gladiator
騙子,fraud
拉链,zipper
重點,Focus
枚,Enumerate
高空,high altitude
几号,Number
体制,system
尼莫,Nimo
鄙视,despise
两万,"20,000"
由此,thus
飞来,Fly
刺穿,pierce
致电,Call
传染病,infectious disease
记不清,Unclear
铃木,Suzuki
废除,abolition
車子,Car
长发,Long hair
牧羊人,shepherd
出走,Go away
祭司,priest
总结,Summarize
大好,excellent
一见钟情,love at first sight
菜子,rapeseed
进程,process
擦掉,wipe
进球,Goal
波动,fluctuation
优美,beautiful
斷,Break
踹,kick
歐洲,Europe
挑逗,tease
穩定,stability
罗兰,Roland
董事长,Chairman
多斯,Doss
壁橱,closet
龙哥,Dragon brother
国务卿,Secretary of State
留点,Stay
邀請,invite
比基尼,Bikini
情书,love letter
至於,Until
装傻,Stupid
会要,Will
约书亚,Joshua
捷径,shortcut
残暴,brutal
管理局,Administer
同谋,accomplice
橄榄,Olive
弗利,Fli
哈姆雷特,Hamlet
戏弄,Tease
有条,Have a strip
千里,Thousand miles
快追,Chasing
那女,That woman
天份,Heaven
能給,Can
细,thin
霍莉,Holly
中間,middle
给我发,Send me
纒,Bamboo
引来,Bring
来晚,Late
很長,very long
做點,Do some
比拉,Bila
义气,Loyalty
效率,efficient
众神,God
下潜,Dive
煮饭,Cook
雜誌,Magazine
揭晓,Announce
脑筋,Brain
讲个,Tell
我待会,I will wait
藉由,By
射程,Range
新书,new book
褐色,brown
写道,Write
铁轨,rail
辛,pungent
普利,Puri
趁着,Take advantage of
白费,White fee
爱抚,Caress
邂逅,Bug
两百万,Two million
大阪,Osaka
七号,Seven
饭碗,rice bowl
耶和华,Jehovah
食谱,recipe
乘以,Multiply
流感,influenza
恭维,Compliment
美德,virtue
西藏,Tibet
佣金,Commission
乔纳斯,Jonas
远程,Remotely
迎来,Ushered in
向导,Guide
送过来,send over
巴拉,Bala
掀起,set off
走投无路,Go through
揭示,reveal
查找,Look up
水域,Watery
感官,Sensory
鸦片,opium
原以为,Originally thought
已故,the late
年里,Year
索菲亚,Sofia
切特,Chet
十一点,Eleventh point
阿兰,Alan
几分,a bit
結,Knot
包扎,Bandage
巷子,Alley
康拉德,Kangrad
做做,Do
阴暗,dark
阿什利,Ashley
刚到,Just arrived
炉子,stove
梦想成真,A dream come true
哈里森,Harrison
禬,Bamboo
水槽,sink
不自在,uneasy
尘土,dust
義,righteous
浅,shallow
户外,outdoor
太子,Prince
看中,Look at
道尔,Dora
死光,Dead light
参选,Give a selection
裡的,inner
正是如此,exactly
舍弃,give up
顺从,obedience
停住,Stop
西北,northwest
驻,Stationed
否决,veto
兄妹,Brothers and sisters
更何况,not to mention
打通,get through
手举,Hand
跳楼,Jump
威尔士,Wales
師,division
城外,Outside the city
之道,Trend
君子,Gentleman
达西,Darcy
这得,This
回音,echo
宝拉,Paula
苏打水,soda water
認真,serious
本论坛,This forum
发育,development
菜品,Dish
指揮,command
幹活,Work
历克斯,Miss
管教,Tube
客观,objective
忍住,Hold back
说教,Preaching
请进来,please come in
完好,intact
惹火,Provoke fire
坐车,Take a bus
要害,Key
椰子,coconut
磨,grind
搭便车,Hitchhi
一针,A needle
湖里,Lake
败类,Defeat
跟不上,Can't keep up
沉没,Sink
ﾉ,Bamboo
荷娜,Hetina
帕拉,Pala
嬰兒,baby
流淌,Flow
保险柜,Safe
星光,Starlight
同一天,the same day
然後呢,Then what
宾,Guest
超速,Overspeed
鼓手,drummer
赤裸,Naked
西恩,Sina
吋,Inches
乡,Township
即兴,impromptu
婚事,marriage
克格勃,KGB
支舞,Dand
我親,I am pro
推进器,Propeller
罗曼,Roman
郎,Lang
完畢,complete
升空,Lift
即可,I.e.
激起,Provoke
風格,style
就給,Give
想像力,imagination
床垫,Mattress
飲,drink
一课,a lesson
环节,Link
克雷,Kre
拉德,Rad
气质,temperament
奥托,Oto
一体,Integrated
你生,You are born
神马,What
弓,bow
起誓,oath
走得,Go
大致,approximately
六号,Sixth
基尔,Kilier
减,reduce
换取,exchange
奇跡,Miracle
机灵,clever
丰盛,rich
题目,topic
猎手,Hunter
科恩,Cohen
宠坏,Spoil
镇长,Deal
一门,One
英語,English
醉鬼,drunk
分解,break down
法式,French
猴,monkey
冰层,Ice
储备,reserve
刽子手,Scorpion
开球,kick off
别挂,Don't hang
吉塔,Gitta
啥时候,Time
脸蛋,Face
問,ask
磨坊,Mill
口号,slogan
绞刑,Hang
顶多,at most
戴眼镜,wear glasses
血脉,Blood
登录,Log in
不祥,Ominous
听得懂,can understand
真蠢,Be stupid
石頭,Stone
媽咪,Mummy
传教士,missionary
溅,splash
孩童,Child
伪装成,Pretend as
余,Remain
青瓦台,Qingtai
警司,police
割断,Cut off
行尸走肉,Walking dead
陪你去,Go with you
木乃伊,mummy
反恐,Counter-terrorism
黑猩猩,chimpanzee
世紀,century
磨蹭,Grind
唯,only
彼得森,Peterson
维基,Wiki
踞,squat
不靠,Unrestrained
機場,Airport
沿,along
倒塌,collapse
兩天,Two days
录制,Recording
盡量,As far as possible
没人要,No one wants
談論,talk
目,Objective
莫扎特,Mozart
干燥,dry
矮子,dwarf
个别,individual
换来,In exchange
一试,A try
漏掉,Miss
酱汁,Sauce
士官,Scholar
癥,disease
驱使,Drive
准则,Criterion
服从命令,obey orders
亚鲁曼,Yaruman
跑不了,Can't run
鞭打,Whipping
法令,decree
团长,Head of the head
安好,well
天鹅,swan
战神,Mars
过往,Past
胶卷,film
杏仁,almond
施舍,Gallery
伸展,stretch
醒来时,when Wake up
一棵树,a tree
微博,Microblogging
海鲜,seafood
全速,full speed
重组,Recombinant
偏僻,remote
很蠢,Very stupid
圣徒,saint
惹事,stir up trouble
转达,Convey
莉亚,Lia
常理,Common sense
快上来,Come upon
属实,true
奥黛丽,Audrey
气流,airflow
可说,Can say
可口,tasty
血手,Bloody hand
经受,Experience
奥克,Ok
说唱,Sing
瞬,instant
贏得,win
短期,short term
门开,Doorway
记不起来,Can't remember
委屈,Wronged
牌照,license
克里斯蒂安,Christian
指教,Advocate
从今以后,From now on
闹事,make trouble
俩个,two
拳王,Fist
小巷,Alley
侦测,Detection
頓,pause
赛季,Season
这使,this makes
特务,spy
被绑,Tied
弹头,warhead
賤,cheap
萨曼莎,Sabmanza
案情,case
音符,Note
一二,Die
突发,Burst
遵从,Comply with
定律,law
禁区,restricted area
浣熊,Raccoon
例行,routine
寸,Inch
芬兰,Finland
冰雪,Ice and snow
多些,some more
龍,Dragon
之物,Thing
穿透,penetrate
外太空,Outer space
生锈,rust
红队,Red team
曲,song
容器,container
恋情,Love
酷毙了,Awesome
免受,Exempt from
壳,shell
莱姆,Lym
下个星期,next week
聊聊天,Chat
配备,Equip
倉庫,storehouse
的關,Off
选项,Option
阿诺德,Arnold
隆重,grand
马匹,horses
籔,Bamboo
赛跑,race
胡椒,black pepper
一年级,First grade
三楼,Third floor
全在,All in
加薪,Salary
导游,Tourist guide
七岁,Seven years old
人力,Manpower
熊熊,raging
憤怒,anger
相连,Join
既然如此,Since this
布满,Full
包袱,burden
识字,Literacy
高处,Height
打來,Call
嘉,Bust
波兰人,Polish
و,Ing
步伐,pace
十倍,ten times
放火,set fire
播,broadcast
准備,Prepare
令人震惊,surprising
杯水,Glass of water
煤气,gas
这道,This
硬汉,Tough guy
推开,Push away
叛变,Rebellion
剪辑,Clip
肺部,Lung
事来,Comment
羊肉,mutton
查德,Chad
智利,Chile
复合,complex
舞會,prom
莱尔,Lair
顶上,Top
迪士尼,Disney
借此,Here thereby
伙計,Buddy
李先生,Mr. Li
税收,tax
贫困,poor
术语,the term
妙,wonderful
魔法师,Magician
苔丝,Tips
汝,汝
簿,book
荷尔蒙,Hormon
环绕,surround
别笑,Do not laugh
说来听听,tell me the story
大批,Large number
动脉,artery
互动,interactive
朋克,Punk
分不清,Unclear
一罐,A can
德罗,Dro
大头,Big head
自尊心,Self-respect
乌克兰,Ukraine
代價,cost
铭记,Remember
一整夜,a whole night
ī,ī
里瑟,Risat
蓝图,blueprint
冷靜點,calm down
装甲,Armor
迈,Take
掐,pinch
混血,Mixed
注重,Pay attention
星期日,Sunday
没试,Not try
捲,roll
帮得,Help
龙神,Dragon god
何种,What kind of
蓋,cover
受人,By someone
买些,Buy some
摧毀,destroy
首饰,jewelry
积蓄,Accumulate
畸形,deformity
特技,trick
大树,Big tree
太坏,Too bad
开饭,Meal
爵士乐,jazz
预想,Expect
盖子,cover
商,business
辅导,Counseling
盘,plate
農場,farm
登台,Desert
上线,online
廚房,kitchen
追到,Chase
标本,specimen
同感,Feelings
雷恩,Renne
十字路口,crossroads
北境,Bojing
城门,City gate
三角洲,delta
待在家里,stay at home
阿司匹林,aspirin
稻叶,Rice
拎,Pick
大意,main idea
加德纳,Gardner
否,no
顶楼,Top floor
正忙着,Busy
达成协议,Agreement
活不了,Can't live
骚动,commotion
银色,silver
喝光,Carry light
赫拉,Hera
添加,Add to
道菜,Dish
眤,Bamboo
化名,Name
东东,Dongdong
拔出来,Pull out
山区,Mountainous area
光滑,smooth
鲑鱼,Salmon
看护,care
德文,German
坚固,Firm
匪徒,Gangster
存放,Store
做菜,Make vegetables
射手,Shooter
哈珀,Harper
伎俩,Trick
贏了,Won
风吹,Wind blowing
胆,Gallbladder
鎘,cadmium
铬,chromium
生化,Biochemistry
我念,I read
花招,Trick
胜算,Win
ñ,n
亚历,Alex
我作,I am doing
工廠,factory
老年人,Elderly
僕,servant
試過,Trial
集市,market
传感器,sensor
萤火虫,firefly
阿妈,Be a mother
估計,estimate
佛罗里达州,Florida
經濟,economy
ﾞ,Bamboo
出头,Bother
轻轻地,Gently
各国,Country
一两天,One or two days
相聚,Join together
不早了,It's late
坎,Hom
ﾍ,Bamboo
进军,Advance
何在,Where
店主,Shop owner
队里,In the team
签了,Signed
三种,Three kinds
梅格,Meg
填满,Fill up
驴子,donkey
琥珀,amber
脊椎,Spine
全场,Audience
抛开,Throw away
賊,thief
梅斯,Mes
會給,Will give
反应堆,reactor
喋喋不休,chatter
拉夫,Laf
下一個,Next
置于,Put on
划船,boating
打声,Sound
安然无恙,Safe and sound
踏,tread
狼群,Wolf group
坨,lump
气死,Mad
迷上,Fans
山脊,Ridge
金鱼,goldfish
拉萨,Lhasa
橙汁,Orange juice
尘,dust
太蠢,Be too stupid
回不去,Can't go back
墓碑,tombstone
探访,Visit
海姆,Heim
壁炉,fireplace
几只,A few
薄饼,Pizza
切割,Cut
杰克森,Jackson
伏,Volve
巴尔的摩,Baltimore
伊斯兰,Islam
邸,Residentium
右侧,Right
献出,Give
事兒,thing
蠁,Bamboo
变为,Become
十二个,twelve
趁机,Take the opportunity
羛,Bamboo
幾次,several times
威特,Wit
形,shape
承諾,promise
之光,Light
笔迹,Handwriting
刮胡子,shave
帕斯,Pas
珍娜,Jenna
普尔,Poce
马里奥,Mario
野狼,Wild wolf
菲奥娜,Fiona
副手,Deputy hand
叫作,Be called
怀上,Pregnancy
印刷,print
胡安,Hu An
戒毒,Detoxification
妆,Makeup
从头到尾,From head to tail
下一代,Next generation
警队,Police team
昏,faint
赽,Bamboo
太后,Too
记性,memory
馆,Museum
网路,network
获,Get
思路,Think
克莱恩,Klein
反悔,Repent
单车,bicycle
圣洁,Holy
恩里克,Enrique
爱死,Love
五十万,Fifty thousand
光亮,bright
渡假,Vacation
不得已,Must not
源于,Originate from
住宿,stay
收视率,Ratings
此生,This life
贝多芬,Beethoven
轮流,turn
收缩,shrink
调教,Tun
青春期,puberty
作曲家,composer
现实生活,real life
亲眼看见,Saw it with my eyes
闹鬼,Ghost
行列,Row
纬,latitude
银子,silver
我害,I am harming
陪陪,Accompany
笨拙,clumsy
总署,General Office
公園,garden
交情,friendship
下船,Ship
第一眼,First eye
盼望,Look forward to
战死,Die
别乱,Don't be chaotic
战线,Front
无所事事,Nothing
放肆,presumptuous
退休金,pension
收益,income
送上,Send
打過,Play
骂人,curse
电缆,cable
我画,I painted
玱,Bamboo
警卫队,Police guard
並不,Not
順便,In one way
量子,quantum
亏,deficit
拚命,Desperately
撕成,Tear
难不成,Can't
木匠,carpenter
决策,decision making
这鬼,This ghost
下属,subordinate
凉快,Cool
太少,Too small
我记,Me
每位,Each
数千,Thousands of
隐秘,secret
拷贝,copy
办完,Finish
人到,Person
证,certificate
进到,Go into
概率,Probability
私生活,private life
球棒,Ball stick
纯净,Pure
晋升,Promote
規定,Regulation
亲口,Close
洋娃娃,doll
厄运,doom
手掌,palm
剁,chop
思绪,Thoughts
粗俗,vulgar
星空,Starry sky
末,end
月经,Menstruation
本领,ability
比爾,Bill
擦伤,Scratch
廢話,nonsense
防护罩,safety mask
好手,Good hand
克拉拉,Krara
米娜,Mina
五百万,five million
佔,Take up
心存,Heart
杀人狂,murderer
無辜,innocent
冰岛,Iceland
看个,Look at
智障,Mentally disabled
静,quiet
买票,Buy tickets
冰冻,Frozen
美酒,Beautiful wine
入伍,Enlist
协定,agreement
上身,Upper body
抵制,resist
柏,Cypress
灌,Irrigate
园,garden
克里斯托弗,Christopher
好觉,Feel good
町,Moon
行进,Travel
悉尼,Sydney
长话短说,Long-term short
坐火车,Train
面向,Facing
乔西,Qiao Xi
菲利克斯,Phillix
礼仪,etiquette
退伍,Retired
我姓,My surname
某种意义,Certain sense
挨打,Beaten
艾丽克丝,Alice
小春,Xiao Spring
大鱼,Big fish
好得多,Better
梅丽莎,Merisha
根源,source
最深,Deepest
藍色,blue
遗失,Lose
配偶,spouse
每秒,Per second
多尔,Dol
养大,Raise
萨克,Sack
处处,Everywhere
电话响,Telephone ring
圣父,Parent
空氣,Air
调到,Transfer
疑虑,doubt
德伍德,Dewood
警長,Chief
我媽媽,My mother
年长,Long-term
生还者,survivor
赶出来,Driven out
有把握,confident
弄断,Break up
捏造,made up
梨,pear
敬佩,admire
何事,What
人待,People stay
福尔,Fol
送花,Flowers
至死,Dead
慌张,panic
阿信,Ashi
刊登,Publish
某天,One day
下一场,Next
天前,Days ago
出不去,can not go out
小黑,Small black
抢劫案,Robbery
藏匿,hide
汉堡包,hamburger
永,forever
影院,cinema
万事,everything
躲过,Hide
笼罩,Shroud
兵器,weapon
无谓,Unfold
熬夜,stay up
匡,匡
法老,Old man
艾娃,Eva
贪心,greedy
豆豆,Peas
三张,Three
调校,Adjust
斗篷,cloak
走掉,Take away
第一夫人,the first lady
司,manage
規則,rule
ㄐ,Bamboo
十六岁,Sixteen years old
全速前进,Full speed ahead
享有,enjoy
チ,Bamboo
豪斯,House
富豪,Rich
菇,mushroom
打入,Get in
无妨,Not
与我无关,not my business
诽谤,defamation
抑郁,Depressed
判刑,Sentence
福瑞克,Furk
蹭,rub
欢迎您,Welcome
私,private
毕业生,graduate
潮流,trend
泽,Ze
堂,Hall
新婚,Newly married
男主角,Male lead
强化,strengthen
轰,boom
繧,Bamboo
台北,Taipei
许诺,Promise
车轮,wheel
أ,Bamboo
神情,look
先说,Firstly
放過,Put out
臔,Bamboo
密探,spy
小刀,Knife
上吊,Hang
他时,When he
那不勒斯,Naples
卓,Zhuo
洗衣,Laundry
尼尔森,Nielsen
绿灯,Green light
匹兹堡,Pittsburgh
胸膛,chest
在手,In hand
完结,end
当今,Today
紆,Bamboo
别搞,Don't engage in
驾驶舱,Cockpit
射线,Rays
他給,He gave
敬畏,Awise
有何不可,Why not
精通,proficient
无畏,Fearless
老兵,veteran
天然气,natural gas
麦琪,Maggie
吸血,Bloody
上任,Take office
温蒂,Whendi
最新消息,latest news
動手,Handle
墨水,ink
离奇,Bizarre
辨认,identify
勇氣,courage
防,Defend
德利,Deli
抱紧,Tight
淫荡,lewd
王八,Wang Ba
冰毒,Ice
出庭作证,Testify
炒鱿鱼,Fried squid
逼迫,force
尔特,Durt
掠夺,plunder
起舞,Dance
两家,Two
向往,Go forward
劳,labor
瓦莱丽,Vallei
國際,internationality
视而不见,Virginity
擅長,Good at
天意,God willing
国会议员,Congressman
ﺿ,Bamboo
温迪,Weidi
器材,equipment
蒸汽,steam
赚大钱,Make big money
俱樂部,club
蒙蔽,Blind
朝廷,Court
清扫,Cleaning
地理,geography
爱国,patriotic
请坐下,please sit down
峈,Bamboo
谅解,understanding
博比,Bobi
眨,blink
参战,Give a war
下课,get out of class lesson
給我們,Give us
瞧不起,look down
古典,classical
烈酒,Spirits
勾,hook
奎尔,Kuil
乐于,glad to
抽煙,smokes
引人注目,striking
閉上,Close up
進展,progress
然後他,He
房顶,Roof
二个,Two
近期,Recently
西奥,West Olympics
慶祝,celebrate
政变,coup
毒害,Poison
办公,Office
當他,when he
簽名,sign
书面,written
搁,put
宿命,Fate
筷子,Chopsticks
遛,stroll
卑微,Humble
退下,Remove
上门,Go on the door
往下,down
非称,Nonsense
淩,Linger
举杯,Hold in
桑迪,Sandy
匆匆,Hurried
休克,shock
新任,new
玩过,Play
用得着,Use
一箭,An arrow
摩斯,Mes
抑或,or
聚,Gather
疯人院,madhouse
做件,Make a piece
机上,on board
真好玩,so fun
爱神,Love god
蠢猪,idiot
梦到,dream
瞧见,see
獹,Bamboo
钓到,Catch
时分,Time division
布料,Fabric
路易丝,Louise
不顺,Incompetent
地平线,horizon
簡,simple
還不錯,not bad
ы,ы
割掉,Cut off
谜团,Mystery
打着,Play
戒掉,Quit
日程,schedule
无可奉告,Cannot be paid
先令,shilling
不起作用,Disconnect
一巴掌,a slap
萝卜,radish
军营,Military camp
恐惧症,phobia
粪便,stool
劳伦,Lauren
卡尔文,Calvin
班尼,Banny
翡翠,Jade
大堂,Lobby
太好,Great
同僚,Colleague
一举一动,Every one in one fell swoop
事業,cause
证券,Securities
提防,beware
四位,Four digits
冰球,puck
啟動,start up
静静,Quietly
會議,Meeting
腀,Bamboo
克鲁格,Kruger
洗碗,do the washing up
干的事,Do things
巴尼,Bani
议长,speaker
迟点,later
小气,mean
开展,Carry out
酬劳,reward
番茄酱,ketchup
试探,Test
嗜血,Bloodthirsty
打错,Miss
完后,Afterward
默默,silently
一顶,One
起步,Start
內容,content
含量,content
钦佩,admiration
忙于,Busy
κ,κ
撞车,Crash
老外,foreigner
一楼,First floor
响亮,Loud
河水,River water
专利,patent
航海,navigation
解决不了,Can't solve
梅里,Meri
验尸官,Corpse
自言自语,Self-speaking
骚货,Exquisite goods
制药,Pharmaceutical
整洁,tidy
侵蚀,erosion
招来,Recruit
人比,Personality
圖,picture
仓,warehouse
單,one
远古,Ancient
悟空,Envoy
被叫,Be called
憧憬,Embarrassment
构造,structure
闹剧,farce
凯拉,Kara
猛男,Mammoth
美國人,American
偏离,Deviate
有多远,how far
一款,One
贝贝,Babe
腊肠,Sausage
排序,Sort
丹妮,Danny
崛起,Rise
战时,War
卓越,excellence
预防,prevention
證人,witness
赛特,Cai
杰德,Jude
铃,bell
堅強,strong
好似,Seem
险境,Dangerous
學會,learn
形态,form
到此结束,It ends here
密谋,plot
欢呼声,Cheers
眏,Bamboo
膥,Bamboo
米切尔,Mitchell
克隆,clone
海龟,Turtle
煽动,incite
在世,living
牙买加,Jamaica
晾,air
论,s
心知肚明,Well-known
筽,Bamboo
链接,Link
投给,Give
旗子,flag
爱国者,patriot
拔出,Pull out
很贵,Very expensive
股市,stock market
假定,assumed
预兆,omen
秃头,Bald
十秒,Ten seconds
一扇门,A door
邀请函,Invitation card
斯蒂夫,Steve
消,remove
斯考,Squi
寶寶,Baby
洛特,Lot
五十年,Fifty years
格勒,Gle
机舱,cabin
肾脏,kidney
胜者,Victor
什麼關,What off
主机,Host
再加,Plus
见识一下,See
聋子,Deafness
毛发,Hair
带进来,Bring in
真笨,Really stupid
帆船,sailboat
答对,answer
燈,light
四岁,Four years old
台风,typhoon
四百,Four hundred
危及,Jeopardize
调动,Mobilize
猵,Bamboo
过失,fault
顺其自然,Let it be natural
穨,Bamboo
后裔,Descendant
精神科,Psychiatric
德意志,German
越共,More
穆德,Mude
未婚,unmarried
阿比,Abie
一扇,A fan
呜咽,whimper
帮不上忙,it can not be helped
扣子,button
六天,Six days
奶昔,milkshake
碟,dish
倾斜,tilt
瑞尔,Riel
合伙,partnership
肩,shoulder
阶,Order
德性,Virtue
山丘,Hill
冷水,cold water
丽斯,Lis
大蒜,garlic
谢尔曼,Shelman
家务,housework
肛门,anus
风筝,Kite
理事,director
北韩,North Korea
眼镜蛇,cobra
流程,Process
链,chain
實驗室,laboratory
巴蒂,Batty
隨著,along with
一记,Amber
毒瘾,Drug addiction
卖淫,Prostitution
缝合,Sew
滾開,Go out
放荡,debauchery
埃文斯,Evans
奴才,Slave
斯通,Stone
辩解,excuse
洗衣机,washing machine
控诉,Complaint
坏处,harm
通奸,adultery
很坏,Very bad
好香,Good incense
想点,Think
巡回,tour
残废,Disabled
修剪,prune
拜伦,Byron
拉丁文,Latin
窝囊废,Vest
并肩作战,Fight alongside
卫队,Guard
参,Participate
小不点,little guy
信托,Trust
链子,chain
放在心上,Put in mind
楼顶,Roof
上映,Release
触动,Touch
须,Must
不放过,Not let go
菩萨,Buddha
白日梦,Daydream
一案,A case
灯里,In the light
进不去,Can't go
读读,Read
易,easy
必胜,Must win
罪恶感,Sinfulness
勸,advise
电动,electric
安然,safely
了如指掌,Awareness
双脚,Feet
哈德,Had
布赖恩,Brian
右翼,Right wing
踢足球,play soccer
