,Chinese,English,Pinyin
8260,特洛伊,Troy,tèluòyī
8261,艺术品,artwork,yìshùpǐn
8262,华生,Huasheng,huáshēng
8263,走着瞧,Walk down,zǒuzheqiáo
8264,兰德尔,Randel,lándéěr
8265,吉利,auspicious,jílì
8266,加密,encryption,jiāmì
8267,罐子,Jar,guànzi
8268,很强,Very strong,hěnjiàng
8269,钡,barium,bèi
8270,倾听,listen,qīngtīng
8271,刚刚开始,just started,gānggāngkāishǐ
8272,紫色,Purple,zǐsè
8273,印度人,Indian,yìndùrén
8274,共产党,Communist Party,gòngchǎndǎng
8275,陳,stale,chén
8276,替代,Replace,tìdài
8277,同居,Cohabitation,tóngjū
8278,三十年,Thirty years,sānshínián
8279,鐘,Bell,zhōng
8280,讀,read,dú
8281,离家出走,runaway,líjiāchūzǒu
8282,赶出去,Get out,gǎnchūqù
8283,得罪,offend,dézui
8284,怎样才能,How can I?,zěnyàngcáinéng
8285,泥,mud,ní
8286,摸摸,Touch,mōmo
8287,甡,Bamboo,shēn
8288,地雷,Mine,dìléi
8289,獶,Bamboo,獶
8290,给出,Give,gěichū
8291,邪,evil,xié
8292,光是,just,guāngshì
8293,别用,do not use,biéyòng
8294,虾,shrimp,xiā
8295,喝啤酒,drink beer,hèpíjiǔ
8296,伴,Accompany,bàn
8297,佩吉,Peggy,pèijí
8298,乞丐,beggar,qǐgài
8299,认定,Identify,rèndìng
8300,真会,True,zhēn huì
8301,猛,fierce,měng
8302,晋级,Advance level,jìnjí
8303,踏上,set foot on,tàshàng
8304,大火,Fire,dàhuǒ
8305,动摇,shake,dòngyáo
8306,多麼,how,duōme
8307,消防员,Firemen,xiāofángyuán
8308,人死,People die,rénsǐ
8309,布丁,pudding,bùdīng
8310,大老远,Big old,dàlǎoyuǎn
8311,不爱,do not love,bùài
8312,马克思,Marx,mǎkèsī
8313,拍电影,filming,pāidiànyǐng
8314,國王,king,guówáng
8315,看样子,Look like,kànyàngzi
8316,爺爺,grandfather,yéye
8317,输给,Lose to,shūgěi
8318,坠毁,Crash,zhuìhuǐ
8319,认可,Recognize,rènkě
8320,扇,fan,shàn
8321,管子,tube,guǎnzi
8322,女演员,actress,n3yǎnyuán
8323,此人,This person,cǐrén
8324,前科,Forego,qiánkē
8325,划,Draw,huà
8326,在线,Online,zàixiàn
8327,那头,That head,nàtóu
8328,老太婆,Old woman,lǎotàipó
8329,用到,Use,yòngdào
8330,我什至,I even,wǒshízhì
8331,沖,rush,chōng
8332,莎士比亚,Shakespeare,shāshìbǐyà
8333,太重,Too heavy,tàichóng
8334,上网,Internet,shàngwǎng
8335,钟头,hour,zhōngtóu
8336,秒钟,Second,miǎozhōng
8337,五天,Five days,wǔtiān
8338,â,â,â
8339,吞噬,Swallow,tūnshì
8340,雨果,Rage,yǔguǒ
8341,帮会,Gang,bānghuì
8342,周三,Wednesday,zhōusān
8343,阿尔,Ali,āěr
8344,严厉,severe,yánlì
8345,一万,Ten thousand,yīwàn
8346,杀光,Kill,shāguāng
8347,唯有,Only,wéiyǒu
8348,门锁,Door lock,ménsuǒ
8349,逗我,Tease me,dòuwǒ
8350,五分,Five-point,wǔfēn
8351,救赎,Redemption,jiùshú
8352,升职,Promote,shēngzhí
8353,好多年,many years,hǎoduōnián
8354,伯爵夫人,Earl,bójuéfūrén
8355,盖瑞,Garrui,gàiruì
8356,有件,Unique,yǒujiàn
8357,试镜,Trial,shìjìng
8358,不算什么,does not matter,busuànshíme
8359,币,currency,bì
8360,窥,peep,kuī
8361,偏见,bias,piānjiàn
8362,弗朗西斯,Francis,fúlǎngxīsī
8363,一轮,One round,yīlún
8364,名为,Named,míngwéi
8365,底部,bottom,dǐbù
8366,打起精神,cheer,dǎqǐjīngshén
8367,厌烦,Boring,yànfán
8368,深夜,late at night,shēnyè
8369,循环,cycle,xúnhuán
8370,人心,People's hearts,rénxīn
8371,十天,Ten-day,shítiān
8372,下水道,sewer,xiàshuǐdào
8373,好比,like,hǎobǐ
8374,布斯,Bars,bùsī
8375,德鲁,Drew,délǔ
8376,亲眼,Private one's eyes,qīnyǎn
8377,野人,Wild,yěrén
8378,级别,level,jíbié
8379,獲得,get,huòdé
8380,贱货,Luxurious goods,jiànhuò
8381,游艇,yacht,yóutǐng
8382,和谐,harmonious,héxié
8383,用餐,Meal,yòngcān
8384,布尔,Boolean,bùěr
8385,做手术,Surgery,zuòshǒushù
8386,玛莉,Mary,mǎlì
8387,否定,negative,fǒudìng
8388,莱斯特,Leicester,láisītè
8389,西斯,Siss,xīsī
8390,步骤,step,bùzhòu
8391,意大利语,Italian language,yìdàlìyǔ
8392,唐尼,Donney,tángní
8393,来回,back and forth,láihuí
8394,皇室,Royal family,huángshì
8395,很傻,Very stupid,hěnshǎ
8396,尤,especially,yóu
8397,南瓜,pumpkin,nánguā
8398,經常,frequently,jīngcháng
8399,真爱,Love,zhēn ài
8400,贴心,intimate,tiēxīn
8401,帮到,Help,bāng dào
8402,破裂,rupture,pòliè
8403,局势,situation,júshì
8404,表格,sheet,biǎogé
8405,尖叫声,Scream,jiānjiàoshēng
8406,重回,return,chónghuí
8407,入狱,jail,rùyù
8408,恢,Restrain,huī
8409,请稍等,Please wait,qǐngshāoděng
8410,愛的,Love,àide
8411,管它,Tube,guǎntā
8412,布鲁克,Brooke,bùlǔkè
8413,百姓,People,bǎixìng
8414,追上,Catch up with,zhuī shàng
8415,头绪,Clue,tóuxù
8416,通行证,Passport,tōngxíngzhèng
8417,吹牛,boast,chuīniú
8418,性关系,Sexual relationship,xìngguānxi
8419,威脅,threaten,wēixié
8420,罪孽,Sin,zuìniè
8421,奎恩,Quan,kuíēn
8422,缩小,Narrow,suōxiǎo
8423,选票,vote,xuǎnpiào
8424,男士,Man,nánshì
8425,北边,North,běibiān
8426,呆子,fool,dāizi
8427,摆平,Flatter,bǎipíng
8428,调查员,investigator,diàocháyuán
8429,纪念日,Commemorative day,jìniànrì
8430,ひ,Bamboo,ひ
8431,村民,Villagers,cūnmín
8432,只會,Only,zhīhuì
8433,场所,place,chǎngsuǒ
8434,火腿,Ham,huǒtuǐ
8435,感恩,grateful,gǎnēn
8436,揭露,Disclose,jiēlù
8437,诺拉,Nora,nuòlā
8438,马桶,toilet,mǎtǒng
8439,侏儒,dwarf,zhūrú
8440,為止,until,wéizhǐ
8441,噁,evil,ě
8442,我下,I am under,wǒxià
8443,众多,numerous,zhòngduō
8444,脱衣舞,Undress,tuōyīwǔ
8445,我过,I have passed,wǒguò
8446,跳跃,jump,tiàoyuè
8447,合格,qualified,hégé
8448,发泄,vent,fāxiè
8449,宝,precious,bǎo
8450,安置,Resettle,ānzhì
8451,村里,Village,cūnlǐ
8452,淑女,Lady,shūnǚ
8453,情景,scene,qíngjǐng
8454,爹地,Heavenly,diēdì
8455,学长,Senior,xuézhǎng
8456,原理,principle,yuánlǐ
8457,存,live,cún
8458,报社,Newspaper,bàoshè
8459,棉花,cotton,miánhuā
8460,身高,height,shēngāo
8461,日出,sunrise,rìchū
8462,厂,factory,chǎng
8463,ﾟ,Bamboo,ﾟ
8464,吃饱,Eating,chībǎo
8465,电影院,Cinema,diànyǐngyuàn
8466,难题,problem,nántí
8467,赏金,Bounty,shǎngjīn
8468,巫婆,witch,wūpó
8469,心底,Bottom,xīndǐ
8470,火車,train,huǒchē
8471,玩耍,play,wánshuǎ
8472,牡,male,mǔ
8473,三千,Three thousand,sānqiān
8474,马库斯,Marcus,mǎkùsī
8475,这样一来,Thus,zhèyàngyīlái
8476,火柴,matches,huǒchái
8477,史考特,Special,shǐkǎotè
8478,铺,shop,pū
8479,路程,Journey,lùchéng
8480,平,flat,píng
8481,遲到,be late,chídào
8482,捕捉,Capture,bǔzhuō
8483,监听,monitor,jiāntīng
8484,迷信,superstitious,míxìn
8485,音,sound,yīn
8486,岂,See,qǐ
8487,本案,Case,běnàn
8488,ì,ì,ì
8489,尔顿,Palton,ěrdùn
8490,不怪,Not blame,bù guài
8491,教父,godfather,jiàofù
8492,文学,literature,wénxué
8493,哀悼,Mourning,āidào
8494,有病,ill,yǒubìng
8495,瘾君子,Addict,yǐnjūnzǐ
8496,古董,antique,gǔdǒng
8497,屠夫,Butcher,túfū
8498,感人,Touching,gǎnrén
8499,第一名,First place,dìyīmíng
8500,瞎子,blind,xiāzi
8501,诗歌,Poetry,shīgē
8502,饮食,diet,yǐnshí
8503,很惨,Very miserable,hěncǎn
8504,有份,Copied,yǒu fèn
8505,砍掉,Cut off,kǎndiào
8506,丧命,Be killed,sàngmìng
8507,伯母,aunt,bómǔ
8508,将近,nearly,jiāngjìn
8509,韦德,Wade,wéidé
8510,坻,islet,dǐ
8511,艾伯特,Albert,àibótè
8512,届,Session,jiè
8513,损害,damage,sǔnhài
8514,乱搞,Chaotic,luàngǎo
8515,监视器,Monitor,jiānshìqì
8516,自尊,Self-esteem,zìzūn
8517,咪咪,Mimi,mīmī
8518,比喻,simile,bǐyù
8519,絋,Bamboo,絋
8520,安东,Anton,āndōng
8521,外交,diplomatic,wàijiāo
8522,判,Judgment,pàn
8523,期限,the term,qīxiàn
8524,梅根,Mergen,méigēn
8525,群众,the masses,qúnzhòng
8526,脉搏,pulse,màibó
8527,捕猎,Hunting,bǔliè
8528,根本就是,Simply,gēnběnjiùshì
8529,遇害,Impermanence,yùhài
8530,庇护,shelter,bìhù
8531,巨型,Giant,jùxíng
8532,麦克风,microphone,màikèfēng
8533,峡谷,canyon,xiágǔ
8534,時間軸,Timeline,shíjiānzhóu
8535,补给,supply,bǔjǐ
8536,富人,Rich,fùrén
8537,不惜一切,Don't hesitate everything,buxīyīqiè
8538,后代,Descendant,hòudài
8539,每日,daily,měirì
8540,代号,Code number,dàihào
8541,守护者,protector,shǒuhùzhě
8542,狂野,Wild,kuángyě
8543,棍子,stick,gùnzi
8544,幾,Several,jǐ
8545,頭,head,tóu
8546,发了,Send out,fāliǎo
8547,創造,create,chuàngzào
8548,雷诺,Renault,léinuò
8549,柯南,Conan,kēnán
8550,时空,Time and space,shíkōng
8551,充电,Charge,chōngdiàn
8552,粮食,food,liángshi
8553,跌倒,fall,diēdǎo
8554,魔术师,magician,móshùshī
8555,传到,Transmit to,chuándào
8556,转动,Rotate,zhuàndòng
8557,政权,regime,zhèngquán
8558,命中注定,Misspeed,mìngzhōngzhùdìng
8559,累死,Exhausted,lèisǐ
8560,音乐家,musician,yīnyuèjiā
8561,甚,very,shèn
8562,值班,Duty,zhíbān
8563,老娘,Old lady,lǎoniáng
8564,窝,nest,wō
8565,雷蒙,Raymond,léiméng
8566,我犯,I am committed,wǒfàn
8567,缝,Seam,féng
8568,塞进,Plug,sāijìn
8569,十字,Cross,shízì
8570,煎,fry,jiān
8571,安全感,sense of security,ānquángǎn
8572,里德,Ryd,lǐdé
8573,可好,Be good,kěhǎo
8574,各就各位,Everywhere,gèjiùgèwèi
8575,弯,bend,wān
8576,一出,Out,yīchū
8577,运,transport,yùn
8578,出海,Go out of the sea,chūhǎi
8579,新聞,news,xīnwén
8580,骆驼,camel,luòtuo
8581,外界,outside world,wàijiè
8582,接著,then,jiēzhe
8583,歇,rest,xiē
8584,副作用,side effect,fùzuòyòng
8585,会员,member,huìyuán
8586,不顾,regardless of,bùgù
8587,惡,evil,è
8588,外边,outside,wàibian
8589,塑料,plastic,sùliào
8590,突袭,Raid,tūxí
8591,立马,Rival,lìmǎ
8592,冷血,Cold blood,lěngxuè
8593,长久,long,chángjiǔ
8594,確認,confirm,quèrèn
8595,准,allow,zhǔn
8596,播出,Broadcast,bōchū
8597,哒,clatter,dā
8598,构成,constitute,gòuchéng
8599,玛姬,Maji,mǎjī
8600,访客,Visitors,fǎngkè
8601,懦弱,cowardly,nuòruò
8602,维奇,Viqi,wéiqí
8603,轻点,lighter,qīngdiǎn
8604,啥事,Acknowledge,sháshì
8605,众人,Everyone,zhòngrén
8606,ﺲ,Bamboo,ﺲ
8607,學生,student,xuésheng
8608,粉红色,Pink,fěnhóngsè
8609,言语,speech,yányǔ
8610,转换,Conversion,zhuǎnhuàn
8611,迷恋,Be confused,míliàn
8612,ﻩ,Bamboo,ﻩ
8613,股份,Shares,gǔfèn
8614,权威,authority,quánwēi
8615,猜想,guess,cāixiǎng
8616,领土,territory,lǐngtǔ
8617,忍者,Ninja,rěnzhě
8618,步,step,bù
8619,学费,tuition fee,xuéfèi
8620,国度,country,guódù
8621,成本,cost,chéngběn
8622,兄弟姐妹,brothers and sisters,xiōngdìjiěmèi
8623,亲亲,Kiss,qīnqīn
8624,无权,No right,wúquán
8625,银河系,Milky Way,yínhéxì
8626,身分,identity,shēnfèn
8627,趕快,hurry up,gǎnkuài
8628,很差,Very bad,hěnchā
8629,领地,territory,lǐngdì
8630,不妥,inappropriate,bùtuǒ
8631,必,must,bì
8632,患,Suffer,huàn
8633,烟雾,smoke,yānwù
8634,差點,Almost,chàdiǎn
8635,烧伤,burn,shāoshāng
8636,丝毫,slightest,sīháo
8637,弄死,Kill,nòngsǐ
8638,乌龟,tortoise,wūguī
8639,願,willing,yuàn
8640,所能,Can,suǒ néng
8641,撕裂,Tear,sīliè
8642,玩儿,play,wánr
8643,柔软,soft,róuruǎn
8644,假释,Parole,jiǎshì
8645,伤人,Hurt,shāngrén
8646,未经,Unreasonable,wèijīng
8647,食,Food,shí
8648,呈,Present,chéng
8649,滴,drop,dī
8650,轮椅,wheelchair,lúnyǐ
8651,无敌,Invincible,wúdí
8652,准备就绪,Ready,zhǔnbèijiùxù
8653,视野,Vision,shìyě
8654,赫克托,Hercu,hèkètuō
8655,特纳,Turner,tènà
8656,鲸,whale,jīng
8657,弗斯,Fos,fúsī
8658,忘不了,Can't forget,wàngbùliǎo
8659,活動,Activity,huódòng
8660,抵押,mortgage,dǐyā
8661,行踪,whereabouts,xíngzōng
8662,无家可归,Homeless,wújiākěguī
8663,嚼,chew,jiáo
8664,同性,homosexual,tóngxìng
8665,迷你,Mini,mínǐ
8666,烧烤,barbecue,shāokǎo
8667,指南,guide,zhǐnán
8668,骨灰,Ashes,gǔhuī
8669,出击,Attack,chūjī
8670,洗衣服,do the laundry,xǐyīfú
8671,每月,per month,měiyuè
8672,离家,Leave home,líjiā
8673,真糟糕,Really bad,zhēnzāogāo
8674,忧郁,Melancholy,yōuyù
8675,有枪,Gun,yǒuqiāng
8676,ゲ,Bamboo,ゲ
8677,還想,Still want,háixiǎng
8678,課,class,kè
8679,时髦,fashionable,shímáo
8680,號碼,Number,hàomǎ
8681,生日礼物,birthday present,shēngrilǐwù
8682,二人,Two people,èrrén
8683,杀了人,Kill people,shāliǎorén
8684,矪,Bamboo,矪
8685,丫,Hedge,yā
8686,共同点,Common point,gòngtóngdiǎn
8687,王位,Throne,wángwèi
8688,照相,Photograph,zhàoxiàng
8689,难忘,memorable,nánwàng
8690,一大早,Morning,yīdàzǎo
8691,人想,People think,rénxiǎng
8692,奧,Oh,ào
8693,難過,sad,nánguò
8694,宇航员,astronaut,yǔhángyuán
8695,充滿,full,chōngmǎn
8696,墨西哥人,Mexican,mòxīgērén
8697,窗,window,chuāng
8698,人造,Artificial,rénzào
8699,参赛,Contest,cānsài
8700,谜,puzzle,mí
8701,恩怨,resentment,ēnyuàn
8702,果,fruit,guǒ
8703,煎饼,Pancake,jiānbǐng
8704,不知情,Unknowingly,buzhīqíng
8705,与此同时,at the same time,yǔcǐtóngshí
8706,基德,Kidd,jīdé
8707,团聚,Reunite,tuánjù
8708,二楼,Second floor,èrlóu
8709,霍尔,Hall,huòěr
8710,越是,More,yuèshì
8711,美国政府,American government,měiguózhèngfǔ
8712,桑德拉,Sandra,sāngdélā
8713,感想,Feeling,gǎnxiǎng
8714,一日,One-day,yīrì
8715,搂,hug,lǒu
8716,人命,Life,rénmìng
8717,围着,Surround,wéizháo
8718,活生生,living,huóshēngshēng
8719,簀,Bamboo,zé
8720,熬,boil,áo
8721,备份,Backup,bèifèn
8722,警署,Police,jǐngshǔ
8723,痛恨,Hate,tònghèn
8724,梦境,Dream,mèngjìng
8725,房地产,real estate,fángdìchǎn
8726,戴安娜,Diana,dàiānnà
8727,洛斯,Los,luòsī
8728,海湾,bay,hǎiwān
8729,摩,Mosaka,mó
8730,班上,Class,bānshàng
8731,悄悄,quietly,qiāoqiāo
8732,柜台,counter,guìtái
8733,莱拉,Lala,láilā
8734,太早,Too early,tàizǎo
8735,转到,Go to,zhuǎn dào
8736,訓練,train,xùnliàn
8737,莱纳,Luna,láinà
8738,请等一下,Please wait,qǐngděngyīxià
8739,俱,all,jù
8740,真遗憾,Really sorry,zhēnyíhàn
8741,滚出,Roll out,gǔnchū
8742,推销,sell,tuīxiāo
8743,药丸,pill,yàowán
8744,普拉,Pula,pǔlā
8745,强制,Mandatory,qiángzhì
8746,莱克,Lake,láikè
8747,匆忙,hurry,cōngmáng
8748,所长,Tired,suǒzhǎng
8749,巧,skillful,qiǎo
8750,子女,child,zǐnǚ
8751,ﾚ,Bamboo,ﾚ
8752,鲁,Lu,lǔ
8753,情愿,Hope,qíngyuàn
8754,跳动,beat,tiàodòng
8755,弄出去,Get out,nòngchūqù
8756,隊長,team leader,duìzhǎng
8757,先前,previously,xiānqián
8758,失落,Lose,shīluò
8759,可可,cocoa,kěkě
8760,殴打,Beat,ōudǎ
8761,猎杀,Hunting,lièshā
8762,优点,advantage,yōudiǎn
8763,设,Assume,shè
8764,打发,Send,dǎfā
8765,女婿,son in law,nǚxu
8766,顯然,Obvious,xiǎnrán
8767,从而,thereby,cóngér
8768,解,untie,jiě
8769,照料,Care,zhàoliào
8770,虚构,imaginary,xūgòu
8771,有鬼,Ghost,yǒuguǐ
8772,德國,Germany,déguó
8773,再聊,Chat again,zàiliáo
8774,好球,nice shot,hǎoqiú
8775,书店,bookstore,shūdiàn
8776,诸位,All,zhūwèi
8777,勁,strength,jìn
8778,款,payment,kuǎn
8779,产业,industry,chǎnyè
8780,那首歌,that song,nàshǒugē
8781,能活,Can,nénghuó
8782,下雪,snow,xiàxuě
8783,臀部,Hip,túnbù
8784,討論,discuss,tǎolùn
8785,草坪,lawn,cǎopíng
8786,林先生,Mr. Lin,línxiānshēng
8787,出庭,Appear in court,chūtíng
8788,没变,no change,méi biàn
8789,某种程度,To a certain degree,mǒuzhǒngchéngdù
8790,约翰逊,Johnson,yuēhànxùn
8791,斯塔,Sta,sītǎ
8792,住址,address,zhùzhǐ
8793,溜走,slip,liūzǒu
8794,迫使,force,pòshǐ
8795,命中,Hit,mìngzhòng
8796,用途,use,yòngtú
8797,签约,Sign a contract,qiānyuē
8798,年来,Year,nián lái
8799,什麼樣,What,shénmeyàng
8800,本次,this time,běncì
8801,唠叨,nagging,láodao
8802,破案,Solve the case,pòàn
8803,冻结,freeze,dòngjié
8804,弗雷,Fre,fúléi
8805,亲热,affectionate,qīnrè
8806,呼吁,call,hūyù
8807,体力,physical strength,tǐlì
8808,最糟,Worst,zuìzāo
8809,戒,Quit,jiè
8810,顺着,Along,shùnzhe
8811,何方,Where is,héfāng
8812,快上车,Get on the bus,kuàishàngchē
8813,摇摆,swing,yáobǎi
8814,自大,arrogant,zìdà
8815,双倍,Double,shuāngbèi
8816,裹,wrap,guǒ
8817,不变,constant,bùbiàn
8818,瞄,aim,miáo
8819,踪迹,trace,zōngjì
8820,罗拉,Rola,luólā
8821,灭,Destroy,miè
8822,ﻙ,Bamboo,ﻙ
8823,告辞,Wholly,gàocí
8824,亲切,kind,qīnqiè
8825,炮弹,Shell,pàodàn
8826,送死,Die,sòngsǐ
8827,探测,Detection,tàncè
8828,前所未有,Unprecedented,qiánsuǒwèiyǒu
8829,飞往,Go to,fēiwǎng
8830,先到,First arrive,xiāndào
8831,门铃,doorbell,ménlíng
8832,徒弟,apprentice,túdì
8833,客,guest,kè
8834,置,Set,zhì
8835,觀眾,audience,guānzhòng
8836,四十,forty,sìshí
8837,十三,Thirteen,shísān
8838,招募,recruit,zhāomù
8839,好受,Good,hǎoshòu
8840,门前,Front,ménqián
8841,赎金,ransom,shújīn
8842,呈现,Present,chéngxiàn
8843,支,branch,zhī
8844,穿成,Piercing,chuānchéng
8845,吨,Ton,dūn
8846,五月,May,wǔyuè
8847,打斗,Fight,dǎdòu
8848,结了婚,Married,jiéliǎohūn
8849,山洞,Cave,shāndòng
8850,冰蓝,Ice blue,bīnglán
8851,逃生,escape,táoshēng
8852,部署,deploy,bùshǔ
8853,安全局,Security bureau,ānquánjú
8854,罚,Penalize,fá
8855,核,nuclear,hé
8856,拦截,Intercept,lánjié
8857,想象力,Imagination,xiǎngxiànglì
8858,兔崽子,Rabbit,tùzǎizi
8859,特种部队,Special forces,tèzhǒngbùduì
8860,引力,gravitational,yǐnlì
8861,ﻀ,Bamboo,ﻀ
8862,禽兽,Beast,qínshòu
8863,最先,First,zuìxiān
8864,叔,uncle,shū
8865,行政,administrative,xíngzhèng
8866,恰当,appropriate,qiàdàng
8867,记载,Record,jìzǎi
8868,送給,Give,sònggěi
8869,難以,difficult,nányǐ
8870,无能,inability,wúnéng
8871,演員,actor,yǎnyuán
8872,掉头,Turn around,diàotóu
8873,闪亮,Shine,shǎnliàng
8874,仇,hatred,qiú
8875,圣地亚哥,San Diego,shèngdìyàgē
8876,芭,Par,bā
8877,幾天,A few days,jǐtiān
8878,卡罗尔,Carol,kǎluóěr
8879,出国,Abroad,chūguó
8880,输掉,Lose,shūdiào
8881,答复,reply,dáfù
8882,进出,Enter,jìnchū
8883,让你在,Make you,ràngnǐzài
8884,收购,Acquire,shōugòu
8885,收费,toll,shōufèi
8886,ń,ń,ń
8887,伯伯,uncle,bóbo
8888,兄弟会,fraternity,xiōngdìhuì
8889,孙女,granddaughter,sūnnǚ
8890,蠂,Bamboo,shè
8891,夺回,recapture,duóhuí
8892,谷仓,barn,gǔcāng
8893,家属,Family member,jiāshǔ
8894,无趣,Boring,wúqù
8895,美分,Category,měifēn
8896,算不上,Not,suànbushàng
8897,仪器,instrument,yíqì
8898,大侠,Heroes,dàxiá
8899,瑜伽,Yoga,yújiā
8900,莫里斯,Morris,mòlǐsī
8901,好想你,really miss you,hǎoxiǎngnǐ
8902,耳环,earrings,ěrhuán
8903,雇员,employee,gùyuán
8904,几张,A few,jǐzhāng
8905,火花,spark,huǒhuā
8906,解药,Antidote,jiěyào
8907,与否,Or not,yǔfǒu
8908,谴责,condemn,qiǎnzé
8909,不看,dont see,bukàn
8910,哔,Beige,bì
8911,收留,Pay,shōuliú
8912,落入,fall into,luòrù
8913,泰瑞,Terry,tàiruì
8914,晃,shake,huàng
8915,勃起,erection,bóqǐ
8916,乳头,nipple,rǔtóu
8917,乱说,Confuse,luànshuō
8918,故乡,home,gùxiāng
8919,学者,scholar,xuézhě
8920,一包,A package,yībāo
8921,拿些,Take some,náxiē
8922,回顾,review,huígù
8923,善,good,shàn
8924,平台,platform,píngtái
8925,據,according to,jù
8926,不放,Not put,bù fàng
8927,立,stand,lì
8928,主持人,host,zhǔchírén
8929,真美,gorgeous,zhēn měi
8930,成天,Chengtian,chéngtiān
8931,初次,Initial,chūcì
8932,活得,Live,huó de
8933,手册,manual,shǒucè
8934,假发,wig,jiǎfà
8935,维修,repair,wéixiū
8936,打理,Manage,dǎlǐ
8937,测验,test,cèyàn
8938,奥巴马,Obama,àobāmǎ
8939,海军陆战队,Marines,hǎijūnlùzhànduì
8940,露丝,Rock,lùsī
8941,打动,move,dǎdòng
8942,无疑,undoubtedly,wúyí
8943,得逞,Succeed,déchěng
8944,志愿者,volunteer,zhìyuànzhě
8945,比不上,Be less than,bǐbùshàng
8946,米克,Mick,mǐkè
8947,带有,Have,dàiyǒu
8948,莫名其妙,baffling,mòmíngqímiào
8949,冠,crown,guān
8950,允許,allow,yǔnxǔ
8951,阿瑟,Arthur,āsè
8952,单单,only,dāndān
8953,跨越,Span,kuàyuè
8954,航线,route,hángxiàn
8955,达拉斯,Dallas,dálāsī
8956,太近,Too close,tàijìn
8957,无力,Weakness,wúlì
8958,浪費,waste,làngfèi
8959,壮观,Spectacular,zhuàngguān
8960,会计,Accounting,kuàijì
8961,演习,exercise,yǎnxí
8962,巫术,witchcraft,wūshù
8963,厨艺,Cooking,chúyì
8964,信赖,trust,xìnlài
8965,神明,God,shénmíng
8966,木偶,puppet,mùǒu
8967,篮球,basketball,lánqiú
8968,洒,sprinkle,sǎ
8969,迷宫,maze,mígōng
8970,蔓延,spread,mànyán
8971,国土,land,guótǔ
8972,抗争,Strive,kàngzhēng
8973,口径,caliber,kǒujìng
8974,植入,Implant,zhírù
8975,宣称,claim,xuānchēng
8976,律師,lawyer,lǜshī
8977,树枝,Branch,shùzhī
8978,合并,merge,hébìng
8979,追寻,search,zhuīxún
8980,借钱,Borrow money,jièqián
8981,中弹,Bullet,zhòngdàn
8982,这周,this week,zhè zhōu
8983,车牌,License plate,chēpái
8984,合唱团,choir,héchàngtuán
8985,人为,Artificial,rénwéi
8986,坏掉,Break away,huàidiào
8987,弟兄们,brothers,dìxiōngmen
8988,伊凡,Ivan,yīfán
8989,香味,fragrance,xiāngwèi
8990,饒,Rare,ráo
8991,花朵,Flowers,huāduǒ
8992,將,will,qiāng
8993,西尔,Sir,xīěr
8994,幼儿园,kindergarten,yòuéryuán
8995,片段,Fragment,piànduàn
8996,拉尔夫,Rarff,lāěrfū
8997,隊,team,duì
8998,握住,hold,wòzhù
8999,这首,This one,zhèshǒu
9000,诺亚,Noah,nuòyà
9001,坦诚,Horiate,tǎnchéng
9002,那颗,That one,nàkē
9003,岁月,years,suìyuè
9004,理会,Pay,lǐhuì
9005,展览,exhibition,zhǎnlǎn
9006,坐坐,Sit,zuòzuò
9007,窃听,tapping,qiètīng
9008,可耻,shameful,kěchǐ
9009,背部,Back,bèibù
9010,品尝,taste,pǐncháng
9011,幸運,lucky,xìngyùn
9012,按住,Press and hold,ànzhù
9013,报案,Report,bàoàn
9014,恕我直言,IMHO,shùwǒzhíyán
9015,菊花,chrysanthemum,júhuā
9016,作对,Pair,zuòduì
9017,想必,presumably,xiǎngbì
9018,外头,Outside,wàitou
9019,一脚,One foot,yījiǎo
9020,大家伙,big guy,dàjiāhuǒ
9021,责备,blame,zébèi
9022,艾略特,Eliot,àilüètè
9023,虽说,although,suīshuō
9024,還不,Still not,háibu
9025,其次,Secondly,qícì
9026,吵死,Quarrel,chǎosǐ
9027,与其,Withdrawal,yǔqí
9028,粒子,particle,lìzǐ
9029,看穿,see through,kànchuān
9030,纽约市,New York City,niǔyuēshì
9031,压抑,Depression,yāyì
9032,整体,overall,zhěngtǐ
9033,瓦斯,gas,wǎsī
9034,露,dew,lù
9035,小伙,Guilty,xiǎohuǒ
9036,争议,dispute,zhēngyì
9037,游荡,Wander,yóudàng
9038,灰尘,dust,huīchén
9039,废弃,Discard,fèiqì
9040,第三季,third episode,dìsānjì
9041,去取,Deck,qùqǔ
9042,大桥,Bridge,dàqiáo
9043,新手,Newbie,xīnshǒu
9044,烦死,Trouble,fánsǐ
9045,停电,power failure,tíngdiàn
9046,挣钱,Make money,zhèngqián
9047,报应,retribution,bàoyìng
9048,高层,High-rise,gāocéng
9049,癒,Heal,yù
9050,实情,Truth,shíqíng
9051,当个,Be,dāng ge
9052,抉择,Choice,juézé
9053,动身,leave,dòngshēn
9054,生来,Born,shēnglái
9055,堵住,Block,dǔzhù
9056,高大,tall,gāodà
9057,士,scholar,shì
9058,无尽,Endless,wújìn
9059,公事,Business,gōngshì
9060,爱着,Love,àizháo
9061,真为,Really,zhēn wei
9062,新泽西,New Jersey,xīnzéxī
9063,帮上,Help,bāng shàng
9064,哗,Clamor,huá
9065,奉,Give,fèng
9066,头号,First number,tóuhào
9067,熟人,acquaintance,shúrén
9068,派遣,send,pàiqiǎn
9069,估,estimate,gù
9070,耶路撒冷,Jerusalem,yēlùsālěng
9071,港,port,gǎng
